iter	MultiClass
326	2.342951136
327	2.342791643
328	2.342633168
329	2.342476559
330	2.34231785
331	2.342159467
332	2.342000111
333	2.341843724
334	2.341686028
335	2.341528547
336	2.341369556
337	2.341214179
338	2.341055163
339	2.340897253
340	2.34073976
341	2.340582456
342	2.340424655
343	2.340267621
344	2.340113773
345	2.339955699
346	2.339800737
347	2.33964315
348	2.339485424
349	2.33932892
350	2.339171997
351	2.339015466
352	2.338857377
353	2.338706297
354	2.338549099
355	2.338394043
356	2.338238753
357	2.338083402
358	2.337925491
359	2.337768521
360	2.337611413
361	2.337456562
362	2.337299566
363	2.337142084
364	2.336984509
365	2.33683017
366	2.336678579
367	2.336525421
368	2.336369391
369	2.33621334
370	2.336056232
371	2.335899969
372	2.33574371
373	2.335587822
374	2.335431893
375	2.335275267
376	2.335120339
377	2.334966357
378	2.334811928
379	2.334656132
380	2.334501316
381	2.334351197
382	2.334195413
383	2.334039868
384	2.333883383
385	2.333729199
386	2.333574194
387	2.333418918
388	2.333262654
389	2.333106446
390	2.332953306
391	2.332797898
392	2.332641856
393	2.332486411
394	2.332331458
395	2.332180196
396	2.332027385
397	2.331875312
398	2.331721759
399	2.331566987
400	2.331412066
401	2.331258251
402	2.331105324
403	2.330952241
404	2.33079759
405	2.330643433
406	2.330488689
407	2.330333459
408	2.330178971
409	2.33002763
410	2.32987463
411	2.329719952
412	2.329565129
413	2.329411197
414	2.329256483
415	2.329101685
416	2.328947089
417	2.3287924
418	2.328640433
419	2.328491879
420	2.328338486
421	2.328184156
422	2.328031492
423	2.327877119
424	2.327724193
425	2.327571879
426	2.327417666
427	2.327263658
428	2.327112677
429	2.326960131
430	2.326807856
431	2.326654768
432	2.326501557
433	2.326348401
434	2.326195657
435	2.326042595
436	2.325891187
437	2.32573771
438	2.325585213
439	2.325432562
440	2.325279247
441	2.325126816
442	2.324973597
443	2.324823909
444	2.324672218
445	2.32452263
446	2.324371911
447	2.324218967
448	2.324065923
449	2.3239139
450	2.323764279
451	2.323611548
452	2.323461049
453	2.32330973
454	2.323157539
455	2.323005996
456	2.322855086
457	2.322704262
458	2.3225526
459	2.32240348
460	2.322251739
461	2.322101845
462	2.32195021
463	2.321798097
464	2.321649067
465	2.321499411
466	2.321349247
467	2.321199486
468	2.321050879
469	2.320901428
470	2.320750209
471	2.320600073
472	2.320448956
473	2.320297911
474	2.320148742
475	2.319998226
476	2.319849445
477	2.319700327
478	2.319548989
479	2.319399049
480	2.319247669
481	2.319102269
482	2.318951148
483	2.318801257
484	2.318652699
485	2.318503055
486	2.318351984
487	2.318201691
488	2.318053207
489	2.317903102
490	2.317753108
